,2881 富邦金,2881 富邦金,2881 富邦金,2882 國泰金,2882 國泰金,2882 國泰金
日期,近三月最高收盤價(元),未調整收盤價(元),當日均價(元),近三月最高收盤價(元),未調整收盤價(元),當日均價(元)
2017/1/3,53,51.4,51.06,50,48,47.93
2017/1/4,53,51.1,51.21,50,47.9,48.02
2017/1/5,53,51.4,51.36,50,48.4,48.12
2017/1/6,53,51.6,51.53,50,48.75,48.57
2017/1/9,53,51.7,51.74,50,49,48.95
2017/1/10,53,52,51.7,50,49.2,48.78
2017/1/11,53,51.7,51.87,50,49,49.01
2017/1/12,53,52.2,52.29,50,48.7,48.95
2017/1/13,53,51.3,51.47,50,48.4,48.26
2017/1/16,53,50.4,50.46,50,47.3,47.46
2017/1/17,53,51.3,50.98,50,47.5,47.41
2017/1/18,53,50.5,50.6,50,46.95,46.94
2017/1/19,53,50.2,50.29,50,46.85,46.72
2017/1/20,53,50.5,50.44,50,47.15,46.98
2017/1/23,53,50.7,50.96,50,47.4,47.18
2017/1/24,53,50.6,50.82,50,47.5,47.3
2017/2/2,53,50.1,50.51,50,46.9,47.17
2017/2/3,53,49.4,49.62,50,46.65,46.71
2017/2/6,53,50.5,50.5,50,48.2,47.73
2017/2/7,53,50.7,50.52,50,48,47.99
2017/2/8,53,50.4,50.36,50,47.85,47.94
2017/2/9,53,50.7,50.56,50,47.7,47.86
2017/2/10,53,51,51,50,48.3,48.72
2017/2/13,53,50.7,50.67,50,48.25,48.43
2017/2/14,53,51.3,51.03,50,48.6,48.6
2017/2/15,53,51.2,51.13,50,48.9,48.84
2017/2/16,53,51.3,51.32,50,49.05,49.19
2017/2/17,53,50.8,50.77,50,49.25,49.14
2017/2/18,53,50.6,50.75,50,49,49.05
2017/2/20,53,50.2,50.58,50,49,49.08
2017/2/21,53,50.5,50.49,50,49.2,49.06
2017/2/22,53,50.2,50.43,50,48.8,49.04
2017/2/23,53,49.85,49.85,50,48.6,48.63
2017/2/24,53,49.75,49.73,50,48.25,48.38
2017/3/1,53,49.6,49.6,50,47.85,48.02
2017/3/2,53,49.8,50.28,50,48.75,48.81
2017/3/3,53,49.8,49.8,50,48.4,48.56
2017/3/6,53,50.5,50.27,50,49,48.82
2017/3/7,53,50.6,50.49,50,49,49
2017/3/8,53,51.5,51.17,50,49.85,49.6
2017/3/9,53,51.1,51.24,50,49.75,49.76
2017/3/10,53,51.9,51.51,50,50,49.96
2017/3/13,53,52.3,52.38,50.8,50.8,50.68
2017/3/14,53,52.1,52.22,51,51,51
2017/3/15,52.9,52.2,51.97,51.2,51.2,51.02
2017/3/16,52.9,52.2,52.06,51.2,51,50.81
2017/3/17,52.9,52.7,52.53,51.2,51,50.9
2017/3/20,52.7,52.5,52.41,51.2,51.1,50.83
2017/3/21,52.7,52.5,52.36,51.2,50.6,50.63
2017/3/22,52.7,52.4,51.96,51.2,50.1,49.86
2017/3/23,53.1,53.1,52.79,51.2,50.6,50.41
2017/3/24,53.1,52.7,52.78,51.2,50.2,50.3
2017/3/27,53.1,51.8,51.66,51.2,50,49.96
2017/3/28,53.1,51,50.93,51.2,49.7,49.73
2017/3/29,53.1,50.5,50.42,51.2,49.6,49.61
2017/3/30,53.1,49.95,50.04,51.2,49,49.2
2017/3/31,53.1,49.5,49.63,51.2,48.7,48.92
2017/4/5,53.1,49,49.01,51.2,49,48.91
2017/4/6,53.1,48.8,48.84,51.2,49.05,49.22
2017/4/7,53.1,48.15,48.26,51.2,48.2,48.37
2017/4/10,53.1,48.35,48.33,51.2,48.75,48.67
2017/4/11,53.1,48,48.17,51.2,48,48.18
2017/4/12,53.1,47.8,47.84,51.2,47.95,47.96
2017/4/13,53.1,47.9,48,51.2,47.95,47.96
2017/4/14,53.1,47.3,47.39,51.2,47.5,47.6
2017/4/17,53.1,47.25,47.11,51.2,47.25,47.21
2017/4/18,53.1,46.5,46.59,51.2,46.9,46.91
2017/4/19,53.1,46.5,46.63,51.2,46.2,46.5
2017/4/20,53.1,47.05,46.85,51.2,46.75,46.49
2017/4/21,53.1,46.95,47.09,51.2,47.2,47.25
2017/4/24,53.1,47,47.02,51.2,47.3,47.31
2017/4/25,53.1,47.75,47.59,51.2,48.5,48.18
2017/4/26,53.1,47,47.3,51.2,48.6,48.51
2017/4/27,53.1,47.25,47.2,51.2,48.55,48.52
2017/4/28,53.1,47.3,47.2,51.2,48.4,48.33
2017/5/2,53.1,47.55,47.55,51.2,49,49.03
2017/5/3,53.1,47.6,47.59,51.2,49.25,49.12
2017/5/4,53.1,47.7,47.6,51.2,49.3,49.29
2017/5/5,53.1,47.6,47.61,51.2,48.75,48.97
2017/5/8,53.1,47.65,47.58,51.2,49,48.96
2017/5/9,53.1,47.7,47.67,51.2,48.95,49.06
2017/5/10,53.1,47.5,47.63,51.2,48.95,48.99
2017/5/11,53.1,47.8,47.68,51.2,49.2,49.09
2017/5/12,53.1,47.6,47.65,51.2,49.15,49.02
2017/5/15,53.1,47.95,47.81,51.2,49.8,49.45
2017/5/16,53.1,48.3,48.21,51.2,50.2,50.29
2017/5/17,53.1,48.2,48.07,51.2,50.3,50.29
2017/5/18,53.1,47.6,47.64,51.2,49.5,49.56
2017/5/19,53.1,47.25,47.32,51.2,49.1,49.17
2017/5/22,53.1,47.45,47.37,51.2,48.8,48.86
2017/5/23,53.1,47.35,47.34,51.2,48.5,48.51
2017/5/24,53.1,47.35,47.4,51.2,48.4,48.47
2017/5/25,53.1,47.5,47.5,51.2,48.6,48.45
2017/5/26,53.1,47.1,47.12,51.2,48,48.17
2017/5/31,53.1,45.85,46.2,51.2,47.1,47.24
